"city","state","year","score"
"Minneapolis","MN",2015,84.0
"St. Paul","MN",2015,84.0
"Washington","DC",2015,81.0
"San Francisco","CA",2015,77.5
"New York","NY",2015,76.5
"Portland","OR",2015,76.5
"Cincinnati","OH",2015,75.0
"Boston","MA",2015,72.5
"San Diego","CA",2015,71.5
"Seattle","WA",2015,71.5
"Oakland","CA",2015,71.0
"Chicago","IL",2015,70.0
"Albuquerque","NM",2015,66.5
"Aurora","IL",2015,66.5
"Sacramento","CA",2015,66.5
"Denver","CO",2015,66.0
"Plano","TX",2015,64.0
"Long Beach","CA",2015,63.5
"Henderson","NV",2015,62.5
"Omaha","NE",2015,62.5
"Philadelphia","PA",2015,62.5
"Honolulu","HI",2015,61.5
"Milwaukee","WI",2015,61.5
"Anchorage","AK",2015,61.0
"Lincoln","NE",2015,61.0
"Pittsburgh","PA",2015,61.0
"Raleigh","NC",2015,61.0
"Virginia Beach","VA",2015,61.0
"Kansas City","MO",2015,60.0
"San Jose","CA",2015,60.0
"Austin","TX",2015,57.5
"Jersey City","NJ",2015,57.5
"New Orleans","LA",2015,57.5
"Tampa","FL",2015,56.5
"Las Vegas","NV",2015,56.0
"St. Louis","MO",2015,56.0
"Phoenix","AZ",2015,55.0
"Cleveland","OH",2015,54.0
"Colorado Springs","CO",2015,54.0
"Baltimore","MD",2015,50.0
"Buffalo","NY",2015,50.0
"Dallas","TX",2015,50.0
"Miami","FL",2015,50.0
"Riverside","CA",2015,50.0
"Corpus Christi","TX",2015,48.5
"Greensboro","NC",2015,48.5
"Tulsa","OK",2015,48.5
"Arlington","TX",2015,47.5
"Atlanta","GA",2015,47.5
"Bakersfield","CA",2015,46.5
"Anaheim","CA",2015,46.0
"Lexington","KY",2015,46.0
"Los Angeles","CA",2015,46.0
"Nashville","TN",2015,46.0
"El Paso","TX",2015,45.0
"Toledo","OH",2015,45.0
"Columbus","OH",2015,44.0
"Chula Vista","CA",2015,43.5
"Houston","TX",2015,43.5
"Detroit","MI",2015,42.5
"Fort Worth","TX",2015,42.5
"San Antonio","TX",2015,42.5
"Newark","NJ",2015,41.0
"Stockton","CA",2015,40.0
"Tucson","AZ",2015,40.0
"Wichita","KS",2015,40.0
"Memphis","TN",2015,39.0
"Jacksonville","FL",2015,38.5
"Santa Ana","CA",2015,37.5
"Mesa","AZ",2015,36.0
"Oklahoma City","OK",2015,36.0
"Louisville","KY",2015,32.5
"Indianapolis","IN",2015,32.0
"Charlotte","NC",2015,31.0
"Fresno","CA",2015,31.0
